Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Зарын дугаар: ,Огноо,Зарын гарчиг,Үнэ,Байрлал,Хэрэглэгчийн нэр,Хэрэглэгчийн дугаар,Үзсэн,Зарын тайлбар
Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,18.0 м²,7,Лизинггүй,Сонгино Хайрхан,3,1-р хороолол,4591002,Нийтэлсэн: 2020-12-20 10:57,1r horoolol tsambad 1 өрөө байр,65000000.0,Улаанбаатар,,,541,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,34.0 м²,2,Лизинггүй,Баянзүрх,1,Бусад,4591092,Нийтэлсэн: 2020-12-20 11:51,Саруул хотхонд 1 өрөө байр,70000000.0,Улаанбаатар,,,296,1
Паркет,1 тагттай,2019,Байхгүй,Вакум,6,Бүргэд,35.0 м²,4,Лизинггүй,Хан-Уул,2,Био комбинат,4591644,Нийтэлсэн: 2020-12-20 15:15,1 oroo bair 35m2,41376000.0,Улаанбаатар,,,1897,1
Паркет,1 тагттай,2018,Байхгүй,Вакум,6,Бүргэд,38.03 м²,5,Лизинггүй,Баянзүрх,1,15-р хороолол,4446851,Нийтэлсэн: 2020-12-20 13:17,1 oroo bair,62000000.0,Улаанбаатар,,,463,1
Паркет,Тагтгүй,2005,Байхгүй,Вакум,5,Бүргэд,35.0 м²,1,Лизинггүй,Баянгол,2,"3, 4 хороолол",4591211,Нийтэлсэн: 2020-12-20 13:58,Хороолол номуун эмнэлэг урд 1 өрөө,61000000.0,Улаанбаатар,,,230,14
Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,34.76 м²,9,Лизинггүй,Сүхбаатар,2,100 айл,4494497,Нийтэлсэн: 2020-12-19 15:19,1 өрөө байр 34m2,2100000.0,Улаанбаатар,,,588,2
Паркет,Тагтгүй,2015,Байхгүй,Вакум,12,Төмөр,29.0 м²,8,Лизинггүй,Баянзүрх,1,16-р хороолол,4590847,Нийтэлсэн: 2020-12-20 08:12,29 мкв 1 өрөө байр,50000000.0,Улаанбаатар,,,1354,6
Паркет,1 тагттай,2020,Байгаа,Вакум,16,Бүргэд,32.4 м²,5,Лизинггүй,Баянзүрх,1,Бусад,4593002,Нийтэлсэн: 2020-12-21 10:26,Баганат хороолол 1 өрөө байр,1190000.0,Улаанбаатар,,,233,13
Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,38.0 м²,5,Банкны лизингтэй,Баянзүрх,2,13-р хороолол,4593504,Нийтэлсэн: 2020-12-21 13:16,Баянзүрх натур худалдааны төвийн баруун талд 1 өрөө байр,76000000.0,Улаанбаатар,,,416,1
Паркет,1 тагттай,2015,Байхгүй,Вакум,6,Бүргэд,46.0 м²,3,Лизинггүй,Хан-Уул,1,19-р хороолол,3828753,Нийтэлсэн: 2020-12-21 16:45,1 өрөө 46м2,84000000.0,Улаанбаатар,,,1205,1
Паркет,Тагтгүй,2013,Байхгүй,Төмөр вакум,12,Бүргэд,32.0 м²,3,Лизинггүй,Баянзүрх,1,Амгалан,4594100,Нийтэлсэн: 2020-12-21 16:50,Амаглан хотхонд 32мк2 1 өрөө байр,53000000.0,Улаанбаатар,,,441,4
